"ID","Generator","Status","Result Status","Proxy Role","Keep SR2","Has SR2","Highlight","Aqu_Ca","Aqu_Cl","Aqu_Mg","Aqu_Na","Aqu_SO4","Inj_CaComp","Inj_Cl","Inj_MgComp","Inj_NaComp","Inj_SO4Comp","InjectorStw","Tres","Inj_Temp","Oil_Recovery","Execution Node","Dataset Path","Optimal","Comment"
"69","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","1.7121212","0.3781012","1.3239392","0.00996398","0.0063277648","0.06508561","0.006365666","0.037691132","0.001479384","292.2683","186","200","53.571869","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00069.dat","False",""
"70","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","3.1067934","0.3368854","4.6251548","0.0023750672","0.0081183216","0.10209342","0.004855637","0.029014604","0.0020041464","239.1287","176.7","250","53.299183","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00070.dat","False",""
"71","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","6.5934739","0.00715902","3.5247496","0.0052209095","0.0090136","0.11442936","0.009385724","0.072397244","0.0012170028","332.123","176.7","240","56.061752","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00071.dat","False",""
"72","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","3.1067934","0.419317","4.0749522","0.0080667518","0.0027466511","0.015741858","0.006365666","0.055044188","0.0017417652","305.5532","148.8","250","54.577133","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00072.dat","False",""
"73","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","2.4094573","0.00715902","0.223534","0.00996398","0.00095609431","0.028077796","0.003345608","0.020338076","0.0020041464","239.1287","167.4","250","53.279068","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00073.dat","False",""
"74","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","1.7121212","0.00715902","0.223534","0.0080667518","0.0036419295","0.1267653","0.004855637","0.072397244","0.0022665276","265.6985","139.5","220","53.915726","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00074.dat","False",""
"75","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","7.29081","0.048374818","0.7737366","0.0080667518","0.0054324864","0.11442936","0.00032555","0.055044188","0.0006922404","199.274","213.9","250","54.264416","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00075.dat","False",""
"76","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","3.8041295","0.13080641","1.8741418","0.0023750672","0.0063277648","0.10209342","0.00032555","0.011661548","0.001479384","239.1287","176.7","200","53.000164","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00076.dat","False",""
"77","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","4.5014656","0.17202221","2.4243444","0.0052209095","0.0063277648","0.040413734","0.009385724","0.011661548","0.00279129","278.9834","186","220","53.634335","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00077.dat","False",""
"78","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","3.8041295","0.048374818","2.4243444","0.0061695236","0.00095609431","0.040413734","0.00032555","0.04636766","0.0017417652","239.1287","186","180","52.843548","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00078.dat","False",""
